# Data from La Plante et al. 2016 (ApJ 828 90).  Figure 9 top left panel.
#
# Column 1: z 
# Column 2: Q_HeIII lower limit 
2.353	0.998
2.363	0.985
2.378	0.963
2.387	0.937
2.406	0.915
2.420	0.894
2.430	0.876
2.451	0.853
2.468	0.822
2.490	0.793
2.523	0.757
2.551	0.721
2.578	0.689
2.608	0.654
2.642	0.619
2.677	0.583
2.717	0.549
2.753	0.517
2.795	0.486
2.831	0.456
2.869	0.430
2.905	0.406
2.938	0.378
2.982	0.353
3.032	0.324
3.076	0.302
3.117	0.280
3.161	0.259
3.202	0.235
3.249	0.216
3.307	0.191
3.363	0.167
3.414	0.146
3.480	0.123
3.531	0.103
3.595	0.083
3.710	0.059
3.795	0.043
3.867	0.034
3.980	0.023
4.065	0.017
4.134	0.015
4.182	0.013
4.268	0.009
4.364	0.007
4.477	0.005
4.590	0.003
4.697	0.004
4.790	0.003
4.892	0.003
4.997	0.003
5.115	0.002
5.285	0.001
5.456	7.345e-5
5.608	5.481e-4
5.761	0.001
5.926	-5.820e-4
5.953	0.001
6.135	8.193e-4
6.271	1.469e-4
6.442	0.001
6.659	-1.582e-4
6.818	-1.582e-4
6.966	4.351e-4
6.995	4.351e-4
