# Sample from Glikman et al. 2011, ApJ, 728, L26; provided by Eilat Glikman
# M1450 estimated from photometry using K correction to be consistent with completeness maps
# completeness values combine photometric selection function and spectroscopic incompleteness
# Survey area: 1.71deg2 for NDWFS field, 2.05deg2 for DLS field
# counter  z     M1450  p          area  sample
        1  3.740 -21.46 0.01393    1.71  3
        2  3.810 -23.79 0.54225    1.71  3
        3  3.880 -22.63 0.53100    1.71  3
        4  3.900 -23.29 0.58650    1.71  3
        5  3.940 -24.90 0.60450    1.71  3
        6  4.020 -25.26 0.62925    1.71  3
        7  4.150 -25.54 0.63150    1.71  3
        8  4.220 -23.01 0.54300    1.71  3
        9  4.230 -23.31 0.53479    1.71  3
       10  4.250 -22.95 0.54450    1.71  3
       11  4.630 -25.15 0.60375    1.71  3
       12  4.750 -23.89 0.49125    1.71  3
       13  3.840 -23.11 0.06426    2.05  6
       14  3.890 -25.52 0.21563    2.05  6
       15  3.890 -22.51 0.16279    2.05  6
       16  3.980 -22.11 0.35486    2.05  6
       17  4.020 -21.74 0.00779    2.05  6
       18  4.120 -24.40 0.55621    2.05  6
       19  4.200 -24.78 0.65974    2.05  6
       20  4.270 -22.70 0.09212    2.05  6
       21  4.320 -23.75 0.57477    2.05  6
       22  4.340 -25.60 0.64903    2.05  6
       23  4.400 -25.18 0.63617    2.05  6
       24  5.060 -25.22 0.52765    2.05  6
