# Data from La Plante et al. 2016 (ApJ 828 90).  Figure 9 top left panel.
#
# Column 1: z 
# Column 2: Q_HeIII upper limit 
2.644	1.000
2.655	0.986
2.671	0.962
2.691	0.944
2.716	0.911
2.742	0.878
2.769	0.849
2.799	0.816
2.833	0.782
2.867	0.749
2.902	0.717
2.946	0.682
2.991	0.646
3.037	0.612
3.083	0.581
3.138	0.550
3.192	0.516
3.244	0.490
3.298	0.466
3.369	0.438
3.469	0.406
3.554	0.385
3.661	0.363
3.794	0.339
3.924	0.320
4.031	0.305
4.148	0.289
4.281	0.273
4.396	0.255
4.518	0.235
4.633	0.215
4.709	0.198
4.780	0.180
4.853	0.164
4.979	0.142
5.099	0.124
5.181	0.115
5.281	0.102
5.399	0.089
5.533	0.077
5.658	0.066
5.784	0.059
5.908	0.052
6.050	0.043
6.186	0.038
6.274	0.035
6.385	0.029
6.508	0.024
6.610	0.020
6.709	0.016
6.819	0.011
6.905	0.008
6.960	0.006
