#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-12-06T16:51:48 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5846ec8a2bd6 
#INFO -out.max=unlimited 
#INFO queryParameters=13 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-out.src=J/ApJ/773/14/table9
#-nav=cat:J/ApJ/773/14&tab:{J/ApJ/773/14/table9}&key:source=J/ApJ/773/14/table9&HTTPPRM:&&-ref=VIZ5846ec8a2bd6&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=<z>&-out=<iMag>&-out=ibin&-out=NQ&-out=logPhi&-out=e_Phi&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/773/14/table9
#-source=J/ApJ/773/14/table9
#-order=I
#-out=<z>
#-out=<iMag>
#-out=ibin
#-out=NQ
#-out=logPhi
#-out=e_Phi
#

#RESOURCE=yCat_17730014
#Name: J/ApJ/773/14
#Title: BOSS: quasar luminosity function (Ross+, 2013)
#Table J_ApJ_773_14_table9:
#Name: J/ApJ/773/14/table9
#Title: The narrowly binned BOSS DR9 Quasar Luminosity Function
#---Details of Columns:
#     <z>                   (F6.3)  [2.2/3.9] Mean redshift of the bin [ucd=src.redshift;pos.heliocentric]
#     <iMag> (mag)          (F7.3)  Mean absolute i band magnitude at z=2 [ucd=phys.magAbs]
#     ibin (mag)            (F7.3)  Absolute i band magnitude bin center [ucd=phys.magAbs]
#     NQ                    (I3)    [1/576] Number of quasars in the bin [ucd=meta.number]
#     logPhi ([Mpc-3/mag])  (F6.3)  [-8.6/-5.5]? Log of the quasar luminosity function log{Phi} (1) [ucd=phys.luminosity.fun]
#     e_Phi (10-9Mpc-3/mag) (F7.3)  [1.6/149]? Poisson error in Phi; divided by 1e-9 (1) [ucd=stat.error]
# ------ ------- ------- --- ------ -------
#                            lo            
#                            gPhi ( e_Phi (
#        <iMag   ibi         [Mpc-3 10-9Mpc
# <z>    > (mag) n (mag) NQ  /mag]) -3/mag)
# ------ ------- ------- --- ------ -------
 2.262 -28.236 -28.350   5 -7.653   5.256
 2.259 -28.045 -28.050  26 -7.244   8.417
 2.254 -27.729 -27.750  42 -6.958  11.708
 2.262 -27.436 -27.450  77 -6.817  13.770
 2.257 -27.129 -27.150 151 -6.529  19.180
 2.256 -26.847 -26.850 217 -6.344  23.737
 2.256 -26.537 -26.550 276 -6.246  26.552
 2.253 -26.242 -26.250 387 -6.092  31.727
 2.255 -25.946 -25.950 497 -5.923  38.517
 2.252 -25.640 -25.650 507 -5.811  43.817
 2.257 -25.355 -25.350 546 -5.717  48.859
 2.252 -25.053 -25.050 509 -5.669  51.619
 2.253 -24.754 -24.750 421 -5.633  53.811
 2.252 -24.461 -24.450 281 -5.576  57.477
 2.252 -24.209 -24.150 138 -5.823  43.207
# 2.246 -23.908 -23.850  22        
 2.352 -28.291 -28.350  11 -7.683   5.071
 2.348 -28.044 -28.050  38 -7.256   8.290
 2.348 -27.743 -27.750  71 -6.997  11.176
 2.354 -27.432 -27.450  96 -6.868  12.960
 2.353 -27.135 -27.150 144 -6.688  15.949
 2.352 -26.840 -26.850 272 -6.409  21.985
 2.349 -26.541 -26.550 301 -6.338  23.871
 2.349 -26.247 -26.250 441 -6.167  29.054
 2.347 -25.949 -25.950 474 -6.084  31.969
 2.348 -25.653 -25.650 518 -5.941  37.669
 2.348 -25.353 -25.350 576 -5.833  42.654
 2.349 -25.053 -25.050 519 -5.809  43.848
 2.349 -24.751 -24.750 437 -5.760  46.400
 2.346 -24.466 -24.450 328 -5.729  48.103
 2.340 -24.185 -24.150  85 -7.297   7.907
# 2.341 -23.964 -23.850   6        
 2.475 -28.504 -28.650   1 -8.491   2.001
 2.446 -28.351 -28.350  14 -7.595   5.612
 2.443 -28.050 -28.050  40 -7.238   8.463
 2.449 -27.748 -27.750  70 -7.005  11.069
 2.447 -27.425 -27.450 125 -6.746  14.912
 2.449 -27.136 -27.150 160 -6.640  16.850
 2.450 -26.839 -26.850 234 -6.462  20.675
 2.445 -26.541 -26.550 313 -6.311  24.590
 2.447 -26.255 -26.250 361 -6.200  27.957
 2.447 -25.942 -25.950 392 -6.120  30.658
 2.445 -25.654 -25.650 426 -6.000  35.183
 2.445 -25.346 -25.350 396 -5.947  37.404
